AreaName,AreaCode,AreaLevel,AreaSort,IsLocalArea
England,E92000001,Country,1,False
Northern Ireland,N92000002,Country,2,False
Scotland,S92000003,Country,3,False
Wales,W92000004,Country,4,False
Cambridgeshire,E10000003,County or combined area,1,False
Derbyshire,E10000007,County or combined area,2,False
Devon,E10000008,County or combined area,3,False
East Sussex,E10000011,County or combined area,4,False
Essex,E10000012,County or combined area,5,False
Gloucestershire,E10000013,County or combined area,6,False
Greater Manchester,E11000001,County or combined area,7,False
Hampshire,E10000014,County or combined area,8,False
Hertfordshire,E10000015,County or combined area,9,False
Kent,E10000016,County or combined area,10,False
Lancashire,E10000017,County or combined area,11,False
Leicestershire,E10000018,County or combined area,12,False
Lincolnshire,E10000019,County or combined area,13,False
Merseyside,E11000002,County or combined area,14,False
Norfolk,E10000020,County or combined area,15,False
Nottinghamshire,E10000024,County or combined area,16,False
Oxfordshire,E10000025,County or combined area,17,False
South Yorkshire,E11000003,County or combined area,18,False
Staffordshire,E10000028,County or combined area,19,False
Suffolk,E10000029,County or combined area,20,False
Surrey,E10000030,County or combined area,21,False
Tyne and Wear,E11000007,County or combined area,22,False
Warwickshire,E10000031,County or combined area,23,False
West Midlands (Metropolitan County),E11000005,County or combined area,24,False
West Sussex,E10000032,County or combined area,25,False
West Yorkshire,E11000006,County or combined area,26,False
Worcestershire,E10000034,County or combined area,27,False
Aberdeen City,S12000033,Local authority,1,True
Aberdeenshire,S12000034,Local authority,2,True
Adur,E07000223,Local authority,3,True
Allerdale,E07000026,Local authority,4,True
Amber Valley,E07000032,Local authority,5,True
Angus,S12000041,Local authority,6,True
Antrim and Newtownabbey,N09000001,Local authority,7,True
Ards and North Down,N09000011,Local authority,8,True
Argyll & Bute,S12000035,Local authority,9,True
"Armagh City, Banbridge and Craigavon",N09000002,Local authority,10,True
Arun,E07000224,Local authority,11,True
Ashfield,E07000170,Local authority,12,True
Ashford,E07000105,Local authority,13,True
Aylesbury Vale,E07000004,Local authority,14,True
Babergh,E07000200,Local authority,15,True
Barking and Dagenham,E09000002,Local authority,16,True
Barnet,E09000003,Local authority,17,True
Barnsley,E08000016,Local authority,18,True
Barnsley,E08000038,Local authority,19,True
Barrow-in-Furness,E07000027,Local authority,20,True
Basildon,E07000066,Local authority,21,True
Basingstoke and Deane,E07000084,Local authority,22,True
Bassetlaw,E07000171,Local authority,23,True
Bath and North East Somerset,E06000022,Local authority,24,True
Bedford,E06000055,Local authority,25,True
Belfast,N09000003,Local authority,26,True
Bexley,E09000004,Local authority,27,True
Birmingham,E08000025,Local authority,28,True
Blaby,E07000129,Local authority,29,True
Blackburn with Darwen,E06000008,Local authority,30,True
Blackpool,E06000009,Local authority,31,True
Blaenau Gwent,W06000019,Local authority,32,True
Bolsover,E07000033,Local authority,33,True
Bolton,E08000001,Local authority,34,True
Boston,E07000136,Local authority,35,True
"Bournemouth, Christchurch and Poole",E06000058,Local authority,36,True
Bracknell Forest,E06000036,Local authority,37,True
Bradford,E08000032,Local authority,38,True
Braintree,E07000067,Local authority,39,True
Breckland,E07000143,Local authority,40,True
Brent,E09000005,Local authority,41,True
Brentwood,E07000068,Local authority,42,True
Bridgend,W06000013,Local authority,43,True
Brighton and Hove,E06000043,Local authority,44,True
"Bristol, City of",E06000023,Local authority,45,True
Broadland,E07000144,Local authority,46,True
Bromley,E09000006,Local authority,47,True
Bromsgrove,E07000234,Local authority,48,True
Broxbourne,E07000095,Local authority,49,True
Broxtowe,E07000172,Local authority,50,True
Buckinghamshire,E06000060,Local authority,51,True
Burnley,E07000117,Local authority,52,True
Bury,E08000002,Local authority,53,True
Caerphilly,W06000018,Local authority,54,True
Calderdale,E08000033,Local authority,55,True
Cambridge,E07000008,Local authority,56,True
Camden,E09000007,Local authority,57,True
Cannock Chase,E07000192,Local authority,58,True
Canterbury,E07000106,Local authority,59,True
Cardiff,W06000015,Local authority,60,True
Carlisle,E07000028,Local authority,61,True
Carmarthenshire,W06000010,Local authority,62,True
Castle Point,E07000069,Local authority,63,True
Causeway Coast and Glens,N09000004,Local authority,64,True
Central Bedfordshire,E06000056,Local authority,65,True
Ceredigion,W06000008,Local authority,66,True
Charnwood,E07000130,Local authority,67,True
Chelmsford,E07000070,Local authority,68,True
Cheltenham,E07000078,Local authority,69,True
Cherwell,E07000177,Local authority,70,True
Cheshire East,E06000049,Local authority,71,True
Cheshire West and Chester,E06000050,Local authority,72,True
Chesterfield,E07000034,Local authority,73,True
Chichester,E07000225,Local authority,74,True
Chiltern,E07000005,Local authority,75,True
Chorley,E07000118,Local authority,76,True
City of Edinburgh,S12000036,Local authority,77,True
City of London,E09000001,Local authority,78,True
Clackmannanshire,S12000005,Local authority,79,True
Colchester,E07000071,Local authority,80,True
Conwy,W06000003,Local authority,81,True
Copeland,E07000029,Local authority,82,True
Corby,E07000150,Local authority,83,True
Cornwall,E06000052,Local authority,84,True
Cotswold,E07000079,Local authority,85,True
County Durham,E06000047,Local authority,86,True
Coventry,E08000026,Local authority,87,True
Craven,E07000163,Local authority,88,True
Crawley,E07000226,Local authority,89,True
Croydon,E09000008,Local authority,90,True
Cumberland,E06000063,Local authority,91,True
Dacorum,E07000096,Local authority,92,True
