Date,Year,MonthNo,MonthName,Quarter,YearMonth,MonthSort,MonthsFromLatest,IsLast24Months,IsLast60Months,IsLast120Months
1965-01-01,1965,1,January,Q1,1965-01,196501,734,False,False,False
1965-02-01,1965,2,February,Q1,1965-02,196502,733,False,False,False
1965-03-01,1965,3,March,Q1,1965-03,196503,732,False,False,False
1965-04-01,1965,4,April,Q2,1965-04,196504,731,False,False,False
1965-05-01,1965,5,May,Q2,1965-05,196505,730,False,False,False
1965-06-01,1965,6,June,Q2,1965-06,196506,729,False,False,False
1965-07-01,1965,7,July,Q3,1965-07,196507,728,False,False,False
1965-08-01,1965,8,August,Q3,1965-08,196508,727,False,False,False
1965-09-01,1965,9,September,Q3,1965-09,196509,726,False,False,False
1965-10-01,1965,10,October,Q4,1965-10,196510,725,False,False,False
1965-11-01,1965,11,November,Q4,1965-11,196511,724,False,False,False
1965-12-01,1965,12,December,Q4,1965-12,196512,723,False,False,False
1966-01-01,1966,1,January,Q1,1966-01,196601,722,False,False,False
1966-02-01,1966,2,February,Q1,1966-02,196602,721,False,False,False
1966-03-01,1966,3,March,Q1,1966-03,196603,720,False,False,False
1966-04-01,1966,4,April,Q2,1966-04,196604,719,False,False,False
1966-05-01,1966,5,May,Q2,1966-05,196605,718,False,False,False
1966-06-01,1966,6,June,Q2,1966-06,196606,717,False,False,False
1966-07-01,1966,7,July,Q3,1966-07,196607,716,False,False,False
1966-08-01,1966,8,August,Q3,1966-08,196608,715,False,False,False
1966-09-01,1966,9,September,Q3,1966-09,196609,714,False,False,False
1966-10-01,1966,10,October,Q4,1966-10,196610,713,False,False,False
1966-11-01,1966,11,November,Q4,1966-11,196611,712,False,False,False
1966-12-01,1966,12,December,Q4,1966-12,196612,711,False,False,False
1967-01-01,1967,1,January,Q1,1967-01,196701,710,False,False,False
1967-02-01,1967,2,February,Q1,1967-02,196702,709,False,False,False
1967-03-01,1967,3,March,Q1,1967-03,196703,708,False,False,False
1967-04-01,1967,4,April,Q2,1967-04,196704,707,False,False,False
1967-05-01,1967,5,May,Q2,1967-05,196705,706,False,False,False
1967-06-01,1967,6,June,Q2,1967-06,196706,705,False,False,False
1967-07-01,1967,7,July,Q3,1967-07,196707,704,False,False,False
1967-08-01,1967,8,August,Q3,1967-08,196708,703,False,False,False
1967-09-01,1967,9,September,Q3,1967-09,196709,702,False,False,False
1967-10-01,1967,10,October,Q4,1967-10,196710,701,False,False,False
1967-11-01,1967,11,November,Q4,1967-11,196711,700,False,False,False
1967-12-01,1967,12,December,Q4,1967-12,196712,699,False,False,False
1968-01-01,1968,1,January,Q1,1968-01,196801,698,False,False,False
1968-02-01,1968,2,February,Q1,1968-02,196802,697,False,False,False
1968-03-01,1968,3,March,Q1,1968-03,196803,696,False,False,False
1968-04-01,1968,4,April,Q2,1968-04,196804,695,False,False,False
1968-05-01,1968,5,May,Q2,1968-05,196805,694,False,False,False
1968-06-01,1968,6,June,Q2,1968-06,196806,693,False,False,False
1968-07-01,1968,7,July,Q3,1968-07,196807,692,False,False,False
1968-08-01,1968,8,August,Q3,1968-08,196808,691,False,False,False
1968-09-01,1968,9,September,Q3,1968-09,196809,690,False,False,False
1968-10-01,1968,10,October,Q4,1968-10,196810,689,False,False,False
1968-11-01,1968,11,November,Q4,1968-11,196811,688,False,False,False
1968-12-01,1968,12,December,Q4,1968-12,196812,687,False,False,False
1969-01-01,1969,1,January,Q1,1969-01,196901,686,False,False,False
1969-02-01,1969,2,February,Q1,1969-02,196902,685,False,False,False
1969-03-01,1969,3,March,Q1,1969-03,196903,684,False,False,False
1969-04-01,1969,4,April,Q2,1969-04,196904,683,False,False,False
1969-05-01,1969,5,May,Q2,1969-05,196905,682,False,False,False
1969-06-01,1969,6,June,Q2,1969-06,196906,681,False,False,False
1969-07-01,1969,7,July,Q3,1969-07,196907,680,False,False,False
1969-08-01,1969,8,August,Q3,1969-08,196908,679,False,False,False
1969-09-01,1969,9,September,Q3,1969-09,196909,678,False,False,False
1969-10-01,1969,10,October,Q4,1969-10,196910,677,False,False,False
1969-11-01,1969,11,November,Q4,1969-11,196911,676,False,False,False
1969-12-01,1969,12,December,Q4,1969-12,196912,675,False,False,False
1970-01-01,1970,1,January,Q1,1970-01,197001,674,False,False,False
1970-02-01,1970,2,February,Q1,1970-02,197002,673,False,False,False
1970-03-01,1970,3,March,Q1,1970-03,197003,672,False,False,False
1970-04-01,1970,4,April,Q2,1970-04,197004,671,False,False,False
1970-05-01,1970,5,May,Q2,1970-05,197005,670,False,False,False
